,title,rating,review_body
0, How's the Josh 🔥,8,"The music and weapons reminded me of pubg 😝honestly loved Vicky kaushals performance
Loved yami gautam's characterSatisfied with the acting and the direction is on another level.And the amazing music which gives you feels 🔥 and goosebumps.Cinematography is excellent but editing could have been better.How nicely they have put down the real life incidentThe only complain I have with this movie is it is little slow but that's okay it was based on real life incident and not a completely script so that's okay. And the movie could have avoid the melodramatic part.

                    4 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink"
1, Excellent Movie... Well made,9,"The movie was very gripping from the very start. Excellent all round acting especially by Vicky Kaushal. The VFX effects were better then most that we have seen recently.Good watch

                    102 out of 177 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink"
2, Best war/military movie from india,8,"No doubt this is the best war/ military movie made in india.

                    94 out of 177 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink"
3, A Masterpiece!!,10,"If I have to say in one word then it'd be MASTERPIECE. It can very well be a classic...a cult classic like Border. This movie doesn't portray blatant Jingoism but strikes the right chords of patriotism with maintaining the right balance. It is so well done that you'd crave for more even if it ends. Everyone performed very well and Vicky Kaushal was stunning. The movie is very inspiring and everyone especially the young generation should watch it to know what the army men do for them. The movie is not political at all but yellow media will try to demean it for 'certain' reasons.
I still can't get over the top notch screenplay, direction, background scores, visuals and performances. A straight 9.5/10 (or may be 10/10 if I don't be skeptical) from me.

                    241 out of 367 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink"
4, One of the best war movies ever,10,"This movie is so real.
Direction is superb.
Vicky kausal is brilliant in his performance.
Script is tightly bound.
Music just complements the action, makes it even better.Must watch !!

                    195 out of 300 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink"
5, A perfect tribute our Indian Army,10,"Watched a wartime movie after long time but I must say this one was the best I saw till date. This movie has a no nonsense plot which is entirely focused on the operation that was conducted for URI. The best part of this movie was there was no unnecessary romantic scene. Another best part of this movie was there was no unnecessary talks, cuss words to show the army's behavior, unlike other movies in past where half of the time is use to convince the audience why the operations are necessary. This is a must watch movie for everyone.

                    154 out of 255 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink"
6, Excellent movie,10,"Excellent movie loved it this is the first Indian movie that represents modern Indian Army Aditya dhar done a great job by showing our modern army and special forces and their tactics and operations to civilians my rating is 10/10🇮🇳

                    122 out of 208 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink"
7, I've never seen something like this in bollywood,10,"Hats off to cinematographer , director, script writer for their individual performance rather than only hailing about actors and actresses.This types of movies make india proud, a movie that was waiting to be applauded from us 🙏

                    92 out of 170 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink"
8, Great movie.,10,"Huge respect for our soldiers who put their life at risk and neutralized the terrorists. The movie does justice to their heroics.

                    96 out of 178 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink"
9, How's the Film? Okay Sir.,6,"Cinematically flawed yet a praiseworthy attempt to depict an event previously unheard in India's military history. Vicky Kaushal portrays the lead perfectly. Our films do project over emotional or chest thumping Army Officers but Vicky's character is a perfect blend of suppressed emotion coated with a sense of duty. His performance undoubtedly is the greatest asset of the film. Paresh Rawal's character which is based on the lines of NIA chief Ajit Doval keeps the story moving forward. Although I feel certain dialogues like ""Surgical Strike karte hain"" in a closed door meeting with the PM and other top notches or ""Halke halke badhate rahiyega"" could have been better conceived. The Drone selection scene where an intern makes the DRDO chief look like a fool and earn Paresh's compliment ""Son you may have just won us the War"" seemed to be an attempt of comic relief. But only an actor of the calibre of Paresh Rawal could have pulled it off and he did it with a natural candour.There were other plot loopholes. The main mission was made too easy. The strikes were picturesque but the climax lacked nail biting sequences. You are in the enemy's territory furtively and wiping out a selected bunch of dreaded terrorists!!! This is where a Black Hawk Down or a Hurt Locker scores. In the end the resolute of one who decided to overstay to kill the last man standing proved that after all it's Bollywood.Apart from Vicky and Rawal's performance, casting and cinematography deserves a thundering applause. Army thrillers tend to be multistarrers and hence there's always a pressure on the script to accommodate everyone's heroics. Uri is free from this defect and therefore the actors successfully become characters in the plot. Coming to the photogenic part, Uri is visually brilliant. The long range shots of valley, the stretches of Baramulla, the night scenes were wonderfully shot.Overall, definitely a one time watch.

                    21 out of 39 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        

Permalink"
